Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Dakkak, Hana",University of Waterloo (Ontario),Summer Program in Aging,202312SMP,Summer Program in Aging,Perspectives of Persons Living with Memory Problems and their Caregivers on Managing Eating Challenges and Swallowing Problems in the Community,"                  $1,355","                      $0","1 yr 0 mth "
"Daley, Denise",University of British Columbia,Team Grant: CEEHRC - Full application,201212TEC,"Team Grant: Canadian Epigenetics, Environment and Health Research Consortium (CEEHRC)",Epigenetic mechanisms for the development of asthma,"              $1,250,000","                      $0","5 yrs 0 mth "
"Dallaire, Renée",Université Laval,CIHR Fellowship,200902MFE,Health Research Training A - Post-PhD (HTA),Étude des effets de l'exposition à certains contaminants émergeants sur la croissance du foetus et de l'enfant d'âge scolaire,"                $135,000","                      $0","3 yrs 0 mth "
"Daly, Leslie K",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,Warnings of danger and risk aren't enough: new clinical approaches in talking to youth about sex,"                $105,000","                      $0","3 yrs 0 mth "
"Daly, Tamara; Wood, Teresa","York University (Toronto, Ontario)",Catalyst Grant: Work Stress and Wellbeing Hackathon,201610WSW,Catalyst Grant: Work Stress and Wellbeing Hackathon,"""Working Well"": Developing An E-Mental Health App for Long-term Care Workers","                 $75,000","                      $0","1 yr 0 mth "
"Daly, Zachary R",University of British Columbia,Master's Award: Canada Graduate Scholarships,201302GSM,Canada Graduate Scholarships Master's Awards B,"Impact of Cash Transfers and Micronutrient Powders on Stunting and Iron Deficiency in Children 6-23 Months in Northern Zambia, A Randomized Control Trial","                 $17,500","                      $0","1 yr 0 mth "
"Daly, Zachary R",University of British Columbia,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,"A mixed methods exploration of young peoples' experiences of climate anxiety and its impacts in British Columbia, Canada","                $105,000","                      $0","3 yrs 0 mth "
"Dame, Jessy M; Lachowsky, Nathan J",University of Victoria (British Columbia),Operating Grant - HIV/AIDS CBR Program - Indigenous,202305CBA,HIV/AIDS and STBBI Community-Based Research - Indigenous stream (Merged),Medicine Bundle for Two-Spirit and Indigiqueer Peoples: Expanding and Adapting an Indigenous-Led Sexual Health Testing Program from Colonial British Columbia Across Turtle Island,"                $450,000","                      $0","3 yrs 0 mth "
"D'Amico, Danielle N",Toronto Metropolitan University,Travel Awards - Institute Community Support,201808ISU,Institute of Aging,The mediating role of protein carbonyls in the relationship between Western diet intake and cognitive function in late life: The NutCog-NuAge study,"                  $1,000","                      $0","1 yr 0 mth "
"D'Amico, Danielle N",Toronto Metropolitan University,Summer Program in Aging,202211SMP,Summer Program in Aging,Summer Program in Aging 2023 Application: Longer-living older adults,"                    $730","                      $0","1 yr 0 mth "
"Dancause, Kelsey",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,CIHR Fellowship,201010MFE,Health Research Training A - Post-PhD (HTA),Prenatal Maternal Stress and Childhood Physical and Metabolic Outcomes,"                 $90,000","                      $0","2 yrs 0 mth "
"Danforth, Jessica","Communities, Alliances & Networks (Saskatchewan)",Catalyst Grant: HIV/AIDS Community Based Research Program - Indigenous Stream,201404CAG,HIV/AIDS Community-Based Research (merged),"Beyond ""At Risk"": Looking 7 Generations Ahead","                 $33,000","                      $0","1 yr 0 mth "
"Dang, Phuc",University of Victoria (British Columbia),Travel Awards - Institute Community Support,201501ISU,Institute of Population and Public Health - Travel Awards,Is Health Equity a Priority? Perceptions from Health System Decision Makers and Practitioners in British Columbia,"                  $1,500","                      $0","1 yr 0 mth "
"Daniel, Juliet M",McMaster University,Op. Gr.: Addr. the Wider Impacts of COVID- Exacerb. of disp. among marg. pops.,202111WI3,Operating Grant : Addressing the Wider Health Impacts of COVID-,COVID-19 Impacts on Breast Cancer Screening and Care in the Caribbean and marginalized communities in Ontario.,"                $498,238","                      $0","2 yrs 0 mth "
"Daniluk, Judith C",University of British Columbia,Catalyst Grant: Psychosocial Issues Associated with Assisted Human Reproduction,200910PAH,Catalyst Grant: Psychosocial Issues Associated with Human Reproduction,Motherhood Deferred:  The Role of Women's Knowledge and Beliefs About AHR in Their Decisions to Delay Childbearing,"                      $0","                      $0","1 yr 0 mth "
"Dao, Huy Hao; Nour, Kareen",Université de Sherbrooke,Operating Grant: Evaluation of Interventions to Address the Opioid Crisis,201809EOC,Operating Grant :Evaluation of Interventions to Address the Opioid Crisis,Utilisation de bandelettes réactives aux opioïdes pour prévenir les surdoses chez les personnes consommant seules à domicile : acceptabilité et effet du counseling sur les comportements de consommation.,"                $100,000","                      $0","1 yr 0 mth "
"Dardas, Anastassios",McMaster University,Travel Awards - Institute Community Support,201601ISU,Summer Program in Aging,Assessing Activity-Travel Behaviour of Caregiver Employees and Health-Risk Areas in Canada,"                      $0","                      $0","1 yr 0 mth "
"Dare, Anna J",Unity Health Toronto,"Health Sys. Impact Embedded ECR Award - Health Services, Health Systems & Policy",202305HS3,Health System Impact Embedded Early Career Researcher Award,Accounting for the social determinants of health in cancer outcomes,"                $400,000","                      $0","4 yrs 0 mth "
"Darroch, Francine E",University of Ottawa,"Doctoral Research Award -PA: Research in First Nations, Métis &/or Inuit Health",201210DIA,Doctoral Research Awards - B,Gaining Insight: Understanding and preventing excessive prenatal weight gain in urban First Nations women.,"                 $72,000","                      $0","2 yrs 0 mth "
"Darroch, Francine E",University of Ottawa,Travel Awards - Institute Community Support,201601ISU,Institute of Indigenous Peoples' Health,Creation of an Online App for Urban Aboriginal Women in Ottawa: A Community-based Participatory Approach,"                  $1,300","                      $0","1 yr 0 mth "
"Dasgupta, Kaberi",Research Institute of the McGill University Health Centre,Operating Grant: Sugar and Health - Sugars and Health,201701SA1,Operating Grant: Sugar and Health,Sugar in solid foods and beverages: examining relationships to gestational diabetes and cardiovascular disease,"                      $0","                      $0","2 yrs 0 mth "
"Dasgupta, Kaberi",Research Institute of the McGill University Health Centre,Op. Gr.: Addr. the Wider Impacts of COVID- Exacerb. of disp. among marg. pops.,202111WI3,Operating Grant : Addressing the Wider Health Impacts of COVID-,Diabetes in a time of COVID: Understanding impacts of material deprivation and other social factors on direct and indirect pandemic effects in persons with diabetes,"                $500,000","                      $0","2 yrs 0 mth "
"Dasgupta, Kaberi; Hanson, Kimberley",Research Institute of the McGill University Health Centre,Op. Grant: Knowledge Mobilization in Diabetes Prevention and Treatment - General,202405KM2,Operating Grant: Knowledge Mobilization in Diabetes Prevention and Treatment,Legal Framework and Impact Analyses: Groundwork for a Diabetes Prevention and Remission Program in Quebec,"                $125,000","                      $0","1 yr 0 mth "
"da Silva Carvalho, Maria M",Université de Montréal,Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - IPPH Artificial Intelligence,Optimizing the city decision-making process through AI and big data for better population health and social equity,"                 $25,000","                      $0","1 yr 0 mth "
"Da Silva, Michael E",University of Toronto,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201310GSD,Doctoral Research Awards - B,The Legitimacy and Limits of Constitutional Health Rights,"                $105,000","                      $0","3 yrs 0 mth "
"Da Silva, Michael E",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,201311CGV,Vanier Canada Graduate Scholarships CIHR,The Legitimacy and Limits of Constitutional Health Rights,"                $150,000","                      $0","3 yrs 0 mth "
"Datta, Geetanjali D",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant - Priority Announcement: Population Health Interventions,201203POH,Health Services Evaluation & Interventions Research 2,Cervical Cancer Screening in Urban Areas: Contributions of Traditional and Spatial Analyses of a Population Health Database to Inform the Improved Provision of Health Services on the Island of Montreal,"                $120,000","                      $0","2 yrs 0 mth "
"Datta, Geetanjali D",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant: Population Health Intervention Research,201510GIR,Operating Grant: Population Health Intervention Research,"The impact of a cervical cancer screening policy change in Ontario, Canada on social inequalities in screening: Quasi-experimental analyses","                $153,515","                      $0","2 yrs 0 mth "
"Dau, Hallie P",University of British Columbia,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,Impact of Cervical Cancer on Families in Uganda,"                $105,000","                      $0","3 yrs 0 mth "
"Dau, Hallie P",University of British Columbia,Travel Awards - Institute Community Support,202310ISU,Travel Awards - Institute Community Support,The Economic Impact of Cervical Cancer on Women and Children in Uganda,"                  $1,500","                      $0","1 yr 0 mth "
"Davenport, Margaret H; Bo, Kari; Hayman, Melanie; Mchugh, Tara-Leigh",University of Alberta,Project Grant - Priority Announcement: Female Athlete Health,202309FEM,"Gender, Sex & Health",Consensus Statement on Sport Participation for Pregnant and Postpartum Athletes,"                      $0","                      $0","1 yr 0 mth "
